                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5661,                 1.6877,                 1.9849,                0.70146,                0.60606,                0.59062,                0.33422,                 1.6336,                 1.7534,                 2.2396,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.5995,                 1.6912,                 2.0119,                0.63375,                0.59091,                 0.6245,                0.38356,                 1.5641,                 1.7246,                 2.2192,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.5775,                 1.6754,                 2.0206,                0.78831,                0.61364,                0.65856,                0.38314,                 1.6158,                 1.6321,                 2.2258,               0.001307,               0.001307,               0.001307
                     38,                 1.5828,                 1.6972,                 1.9999,                0.69766,                0.59438,                0.64609,                0.38588,                 1.4759,                 1.6717,                 2.0921,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.5321,                   1.64,                 1.9459,                0.64889,                0.61604,                0.64912,                0.41422,                 1.4745,                 1.6805,                 2.0838,              0.0012674,              0.0012674,              0.0012674
                     40,                  1.533,                 1.6116,                 1.9551,                0.80369,                0.62029,                0.70031,                0.42258,                 1.4313,                 1.6028,                 2.0629,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.4847,                  1.587,                  1.919,                0.82836,                0.59091,                0.68764,                0.40543,                 1.4803,                 1.6076,                 2.1312,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.4927,                 1.5996,                 1.9382,                0.74728,                0.57576,                0.65941,                0.40633,                 1.4482,                 1.5909,                 2.0684,               0.001208,               0.001208,               0.001208
                     43,                 1.4807,                 1.5649,                 1.9128,                 0.8194,                0.58434,                0.67788,                0.43185,                 1.4403,                 1.5426,                 2.0792,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.4806,                 1.5639,                 1.9042,                0.71748,                0.61566,                 0.6619,                0.40968,                 1.4144,                 1.5544,                 2.0648,              0.0011684,              0.0011684,              0.0011684
                     45,                  1.496,                 1.5824,                 1.9332,                0.79908,                0.59848,                0.67457,                0.41459,                 1.5382,                 1.5796,                  2.161,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.4388,                 1.5271,                  1.896,                0.68092,                0.59848,                0.64593,                0.41597,                 1.4064,                 1.6235,                 2.0348,              0.0011288,              0.0011288,              0.0011288
                     47,                  1.465,                 1.5233,                 1.8917,                0.80448,                0.56061,                0.66816,                0.40999,                 1.5111,                 1.5665,                 2.1649,               0.001109,               0.001109,               0.001109
                     48,                 1.4287,                 1.5078,                  1.879,                0.67394,                0.65909,                0.67024,                0.41334,                 1.4911,                 1.5078,                 2.1142,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.4356,                 1.4933,                 1.8595,                0.76775,                0.59848,                0.68272,                0.43983,                 1.4019,                 1.5298,                 2.0682,              0.0010694,              0.0010694,              0.0010694
                     50,                  1.411,                 1.5083,                 1.8402,                0.79052,                0.61364,                0.70303,                0.44324,                 1.4251,                 1.4666,                   2.04,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.4225,                 1.4601,                 1.8629,                0.74651,                0.60239,                0.68886,                0.43167,                 1.5049,                  1.519,                  2.117,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.3898,                 1.4615,                 1.8174,                0.74127,                0.56434,                0.65659,                0.41959,                 1.4826,                 1.5423,                 2.1261,                0.00101,                0.00101,                0.00101
                     53,                 1.3908,                 1.4387,                 1.8297,                0.82907,                0.69697,                0.75523,                0.48241,                 1.3161,                  1.393,                  1.938,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.3867,                 1.4545,                 1.8363,                0.77225,                0.65909,                0.71917,                0.48472,                 1.3035,                 1.4938,                 1.9314,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.3755,                 1.4387,                 1.8237,                0.81482,                0.64394,                0.72254,                0.45834,                 1.4372,                 1.4241,                 2.0628,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.3554,                 1.4262,                 1.7925,                0.74929,                0.65909,                 0.7206,                0.47321,                 1.3261,                 1.3769,                 1.9539,              0.0009308,              0.0009308,              0.0009308
                     57,                  1.337,                 1.3959,                 1.7816,                0.86182,                0.60606,                0.71951,                0.47187,                 1.4104,                 1.3836,                 2.0489,               0.000911,               0.000911,               0.000911
                     58,                 1.3667,                 1.3741,                 1.7986,                0.75749,                0.66667,                0.73537,                 0.4836,                  1.382,                 1.3614,                 1.9972,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.3534,                  1.405,                  1.809,                0.86266,                0.62121,                0.71345,                0.46772,                 1.4175,                 1.5017,                 1.9937,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.3465,                 1.4047,                 1.7754,                0.77021,                0.67424,                0.72443,                0.47039,                 1.3883,                 1.3978,                 2.0064,              0.0008516,              0.0008516,              0.0008516
                     61,                   1.32,                  1.363,                 1.7455,                0.73212,                0.68182,                0.70764,                0.47715,                  1.329,                 1.4014,                 1.9435,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.3259,                 1.3265,                 1.7688,                0.77634,                0.65152,                0.74385,                 0.4855,                 1.3668,                 1.3787,                 1.9988,               0.000812,               0.000812,               0.000812
                     63,                 1.3009,                 1.3533,                 1.7475,                0.79641,                0.70455,                0.76087,                  0.505,                 1.3128,                 1.2984,                 1.9805,              0.0007922,              0.0007922,              0.0007922
                     64,                  1.304,                 1.3663,                 1.7401,                0.79701,                0.67424,                0.73697,                0.50037,                 1.3561,                 1.3264,                  2.017,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.2758,                 1.3341,                 1.7323,                0.88901,                0.66667,                0.75276,                0.51433,                 1.2979,                 1.3314,                 1.9354,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.2734,                 1.3207,                 1.7268,                0.84041,                0.68939,                0.77059,                0.51577,                 1.3798,                 1.2901,                 2.0233,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.2726,                 1.2695,                  1.713,                0.82133,                0.62685,                0.73685,                0.47995,                  1.322,                 1.3543,                 1.9433,               0.000713,               0.000713,               0.000713
                     68,                 1.2957,                 1.3193,                 1.7516,                0.90853,                0.64394,                0.77555,                0.52116,                 1.2749,                 1.2365,                 1.9559,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.2411,                 1.2771,                 1.7034,                 0.8214,                0.71212,                0.77925,                0.52012,                 1.2968,                 1.3246,                 1.9311,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.2705,                 1.2694,                 1.7034,                0.90149,                0.64394,                 0.7587,                0.53411,                 1.2946,                 1.2441,                 1.9477,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.2653,                 1.2512,                 1.7184,                0.81339,                0.66044,                0.75561,                 0.5059,                 1.3314,                 1.2948,                 1.9555,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.2375,                 1.2564,                 1.6901,                0.76063,                0.74242,                0.77093,                0.49583,                 1.3459,                 1.3164,                 1.9644,               0.000614,               0.000614,               0.000614
                     73,                  1.225,                 1.2286,                 1.6798,                0.86129,                0.68939,                0.77471,                0.53262,                  1.238,                 1.2765,                 1.8727,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.2375,                 1.2175,                  1.687,                0.92052,                0.68939,                0.78795,                 0.5273,                 1.2208,                 1.2204,                 1.8391,              0.0005744,              0.0005744,              0.0005744
